id	first_name	last_name	position	height	weight
000025901	Jonathan	Hefney	UNK	5-9	185
000025900	Chris	Clark	T	6-5in	305
000026304	Carl	Nicks	G	6-5in	349
000025902	Elbert	Mack	DB	5-10in	175
000027736	Kendrick	Lewis	FS	6-0in	198
000002655	John	Carney	UNK	5-11	185
000019133	Hank	Fraley	UNK	6-3	310
000023764	Andre	Hall	UNK	5-10	212
000019135	Dan	Kreider	UNK	5-11	250
000024697	Melvin	Bullitt	UNK	6-1	201
000024692	Daniel	Muir	DT	6-2in	312
000024693	Pat	Murray	UNK	6-3	316
000024690	Larry	Birdine	UNK	6-4	265
000027658	Zane	Beadles	G	6-4in	305
000027657	Lamarr	Houston	DE	6-3in	300
000027656	Rob	Gronkowski	TE	6-6in	265
000027655	Torell	Troup	UNK	6-3in	327
000023180	Harvey	Dahl	G	6-5in	306
000027653	T.J.	Ward	SS	5-10in	200
000027652	Nate	Allen	SS	6-1in	210
000027651	Dexter	McCluster	WR	5-8in	170
000027650	Brian	Price	UNK	6-1	303
000027898	Nyan	Boateng	UNK	6-1	204
000019536	Shayne	Graham	UNK	6-0in	210
000027997	Greg	Little	WR	6-2in	220
000027194	Leroy	Banks	UNK	6-3	243
000027062	Chris	Owens	CB	5-9in	180
000028251	Jeff	Tarpinian	UNK	6-3in	240
000009173	Patrick	Kerney	UNK	6-5	272
000025824	Garrett	Hartley	K	5-8in	195
000026262	Tashard	Choice	RB	5-10in	210
000027891	Golden	Tate	WR	5-10in	202
000027893	Damian	Williams	WR	6-1in	193
000027892	Pat	Angerer	ILB	6-0in	236
000027895	Kevin	Thomas	UNK	6-0	192
000027894	NaVorro	Bowman	ILB	6-0in	242
000027897	Derrick	Townsel	UNK	5-9	175
000027896	Randy	Phillips	UNK	6-1	210
000030327	Randy	Richards	UNK	6-3in	303
000029241	Justin	Francis	UNK	6-4in	270
000030323	Jamarkus	McFarland	UNK	6-2in	305
000030322	Josh	Johnson	UNK	5-10in	199
000030321	Byron	Jerideau	NT	6-1in	334
000030320	Michael	Hill	UNK	5-11in	205
000028042	Luke	Stocker	TE	6-5in	253
000030329	Luke	Tasker	UNK	5-11in	191
000024529	Gijon	Robinson	UNK	6-1	255
000025833	Patrick	Bailey	LB	6-4in	243
000001157	Mitch	Berger	UNK	6-4	228
000025529	Steve	Breaston	UNK	6-0in	189
000025834	Donovan	Woods	UNK	6-2	230
000026636	Lydell	Sargeant	UNK	6-1	187
000022754	Samie	Parker	UNK	5-11	185
000025713	Marcus	Smith	UNK	6-4	295
000022750	Dwan	Edwards	DT	6-3in	305
000022753	Anthony	Hargrove	UNK	6-3	282
000027021	Clint	Sintim	UNK	6-3	246
000022591	Jim	Maxwell	UNK	6-4	240
000027091	Slade	Norris	UNK	6-2	232
000027090	Lawrence	Sidbury	LB	6-3in	269
000027093	Tony	Fiammetta	FB	6-0in	250
000027092	Austin	Collie	WR	6-0in	204
000023466	Mike	Patterson	DT	6-1in	300
000029842	Dave	Kruger	UNK	6-5in	285
000025970	Caleb	Hanie	UNK	6-2in	222
000029079	Quentin	Saulsberry	UNK	6-3in	300
000029478	Jourdan	Brooks	UNK	6-0	230
000022714	Kris	Wilson	UNK	6-2	245
000027095	Gerald	McRath	UNK	6-3	228
000027094	Andre	Brown	RB	6-0in	227
000027097	Tyronne	Green	OG	6-2in	316
000027096	Seth	Olsen	UNK	6-5in	305
000027098	Gartrell	Johnson	UNK	5-10	219
000015754	Brandon	Stokley	WR	6-0in	194
000019954	Keydrick	Vincent	UNK	6-5	325
000023347	Mike	Kracalik	UNK	6-8	335
000029379	Antoine	McClain	G	6-5in	336
000030213	Craig	Wilkins	UNK	6-1in	243
000027870	Maurkice	Pouncey	C	6-4in	304
000030217	Tim	Lelito	G	6-4in	315
000030216	Josh	Hill	TE	6-5in	229
000030215	Glenn	Foster	DE	6-4in	285
000024428	Chris	Morris	UNK	6-4	305
000005322	London	Fletcher	ILB	5-10in	242
000029272	Nigel	Bradham	OLB	6-2in	241
000023578	Dan	Orlovsky	QB	6-5in	230
000023570	Roydell	Williams	UNK	6-0	178
000023571	Ronald	Fields	UNK	6-2	314
000000551	Brendon	Ayanbadejo	UNK	6-1	225
000024238	Davin	Joseph	G	6-3in	313
000024239	Johnathan	Joseph	CB	5-11in	188
000024234	Antonio	Cromartie	CB	6-2in	210
000024235	Tamba	Hali	OLB	6-3in	275
000024236	Laurence	Maroney	UNK	5-11	220
000024237	Manny	Lawson	OLB	6-5in	240
000024230	Tye	Hill	UNK	5-10	185
000024232	Chad	Greenway	OLB	6-2in	242
000024233	Bobby	Carpenter	UNK	6-2	249
000025877	Marcus	Buggs	UNK	5-10	223
000027063	Deon	Butler	UNK	5-10in	182
000024360	Dawan	Landry	SS	6-1in	212
000021224	Dante	Wesley	UNK	6-1	215
000022122	Eric	Steinbach	UNK	6-6	295
000026723	Chris	Pressley	FB	5-11in	260
000027452	James	Williams	UNK	6-5	295
000025558	Clint	Oldenburg	UNK	6-5	305
000027879	Kyle	Wilson	CB	5-10in	190
000022684	Donnie	Jones	P	6-2in	221
000027878	Jared	Odrick	DT	6-5in	302
000022703	Ryon	Bingham	UNK	6-3	303
000023880	Mark	LeVoir	UNK	6-7	310
000029948	Jamal	Miles	UNK	5-9in	188
000027505	Trevor	Harris	UNK	6-2	223
000019770	Jay	Feely	K	5-10in	208
000021956	Asante	Samuel	CB	5-10in	185
000024359	Jerome	Harrison	UNK	5-9	205
000024358	Marques	Hagans	UNK	5-10	205
000021952	Todd	Johnson	UNK	6-1	200
000030109	Mike	Catapano	DE	6-3in	270
000021951	Bryan	Scott	UNK	6-1in	220
000024353	Quinn	Ojinnaka	UNK	6-5	295
000024352	Pat	Watkins	UNK	6-5	220
000030105	Alan	Bonner	WR	5-10in	190
000024350	Ryan	O'Callaghan	UNK	6-7	330
000021488	Mat	McBriar	UNK	6-0	227
000024356	Brandon	Johnson	UNK	6-5	245
000024355	Jonathan	Scott	T	6-6in	318
000026598	Jerome	Johnson	UNK	6-1	258
000019537	Tyrone	Carter	UNK	5-9	195
000023404	Atari	Bigby	UNK	5-11	211
000023408	Greg	Camarillo	UNK	6-2	200
000020332	David	Martin	UNK	6-4	264
000020337	Steve	Smith	WR	5-9in	185
000022975	Andrew	Economos	LS	6-1in	250
000023973	Calvin	Russell	UNK	6-0	190
000026242	Jeremy	Thompson	UNK	6-4	260
000022342	Eric	Alexander	UNK	6-2	240
000027083	David	Bruton	SS	6-2in	217
000023249	DeCori	Birmingham	UNK	5-10	210
000025535	Kolby	Smith	UNK	5-11	219
000021279	Verron	Haynes	UNK	5-9	222
000020426	Casey	Hampton	UNK	6-1	325
000022979	Dan	Connolly	G	6-4in	305
000022701	D.J.	Hackett	UNK	6-2	208
000024394	Lawrence	Vickers	UNK	6-0	250
000019605	Darren	Howard	UNK	6-3	260
000027786	Jonathan	Dwyer	RB	5-11in	229
000018605	Corey	Ivy	UNK	5-9	190
000026878	Tom	Crabtree	TE	6-4in	245
000026879	Darryl	Harris	UNK	6-4	300
000026491	Stefan	Logan	UNK	5-6	180
000025426	Justin	Blalock	G	6-4in	326
000025536	Uche	Nwaneri	G	6-3in	310
000026871	Dion	Gales	UNK	6-5	310
000026873	Bobby	Greenwood	UNK	6-5	278
000026874	Taurus	Johnson	UNK	6-1	205
000026876	Corey	Smith	UNK	6-1	225
000026877	Pierre	Walters	UNK	6-5	269
000030073	Duke	Williams	FS	5-11in	201
000020055	Demetric	Evans	UNK	6-4	275
000028269	Nate	Whitaker	UNK	5-9	183
000028268	Devon	Torrence	UNK	6-0	190
000030077	Chris	Harper	WR	6-1in	228
000030076	J.C.	Tretter	T	6-4in	307
000030074	David	Bakhtiari	OT	6-4in	300
000028263	Andre	Holmes	WR	6-4in	210
000028262	Ryan	Hill	UNK	5-11	207
000030079	Devin	Taylor	DE	6-7in	267
000028260	Larry	Dean	LB	6-0in	226
000028267	Allen	Reisner	TE	6-3in	255
